names,ids,types,grade,director,addr,actor,year,comment
肖申克的救赎,1292052,犯罪 / 剧情,9.7,弗兰克·德拉邦特,美国,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿,20世纪90年代,3093026
霸王别姬,1291546,剧情 / 爱情 / 同性,9.6,陈凯歌,中国大陆/中国香港,张国荣 / 张丰毅 / 巩俐,20世纪90年代,2282672
美丽人生,1292063,剧情 / 喜剧 / 爱情 / 战争,9.5,罗伯托·贝尼尼,意大利,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼,20世纪90年代,1406593
辛德勒的名单,1295124,剧情 / 历史 / 战争,9.5,史蒂文·斯皮尔伯格,美国,连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯,20世纪90年代,1189041
控方证人,1296141,剧情 / 犯罪 / 悬疑 / 惊悚,9.6,比利·怀尔德,美国,泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿,20世纪50年代,642247
阿甘正传,1292720,剧情 / 爱情,9.5,罗伯特·泽米吉斯,美国,汤姆·汉克斯 / 罗宾·怀特 / 加里·辛尼斯,20世纪90年代,2302033
茶馆,1461403,剧情 / 历史,9.6,谢添,中国大陆,于是之 / 郑榕 / 蓝天野,20世纪80年代,180376
背靠背，脸对脸,1307856,剧情,9.5,黄建新 / 杨亚洲,中国大陆/中国香港,牛振华 / 雷恪生 / 李强,20世纪90年代,159138
高山下的花环,1422283,剧情 / 战争,9.5,谢晋,中国大陆,吕晓禾 / 唐国强 / 何伟,20世纪80年代,126494
福尔摩斯二世,1303408,喜剧 / 动作 / 爱情,9.4,巴斯特·基顿,美国,巴斯特·基顿 / 凯瑟琳·麦奎尔 / 乔·基顿,20世纪20年代,30499
这个杀手不太冷,1295644,剧情 / 动作 / 犯罪,9.4,吕克·贝松,法国/美国,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼,20世纪90年代,2440064
泰坦尼克号,1292722,剧情 / 爱情 / 灾难,9.5,詹姆斯·卡梅隆,美国/墨西哥,莱昂纳多·迪卡普里奥 / 凯特·温斯莱特 / 比利·赞恩,20世纪90年代,2343107
盗梦空间,3541415,剧情 / 科幻 / 悬疑 / 冒险,9.4,克里斯托弗·诺兰,美国/英国,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾利奥特·佩吉,21世纪10年代,2201366
星际穿越,1889243,剧情 / 科幻 / 冒险,9.4,克里斯托弗·诺兰,美国/英国/加拿大,马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦,21世纪10年代,2015193
忠犬八公的故事,3011091,剧情,9.4,拉斯·霍尔斯道姆,美国/英国,理查·基尔 / 莎拉·罗默尔 / 琼·艾伦,21世纪00年代,1471885
十二怒汉,1293182,剧情,9.4,西德尼·吕美特,美国,亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒,20世纪50年代,538485
灿烂人生,1291831,剧情 / 爱情 / 家庭,9.3,马可·图利奥·吉奥达纳,意大利,路易吉·洛·卡肖 / 阿莱西奥·博尼 / 索尼娅·贝加马斯科,21世纪00年代,78532
控方证人,5294851,剧情 / 犯罪 / 悬疑,9.4,艾伦·吉布森,美国/英国,拉尔夫·理查德森 / 黛博拉·蔻儿 / 博·布里奇斯,20世纪80年代,89824
切腹,1304920,剧情 / 动作 / 悬疑,9.4,小林正树,日本,仲代达矢 / 石浜朗 / 岩下志麻,20世纪60年代,51097
海上钢琴师,1292001,剧情 / 音乐,9.3,朱塞佩·托纳多雷,意大利,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩,20世纪90年代,1786181
楚门的世界,1292064,剧情 / 科幻,9.4,彼得·威尔,美国,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯,20世纪90年代,1873292
熔炉,5912992,剧情,9.3,黄东赫,韩国,孔刘 / 郑裕美 / 金贤秀,21世纪10年代,988598
横空出世,1464526,剧情 / 历史,9.4,陈国星,中国大陆,李雪健 / 李幼斌 / 高明,20世纪90年代,98019
无间道,1307914,剧情 / 犯罪 / 惊悚,9.3,刘伟强 / 麦兆辉,中国香港,刘德华 / 梁朝伟 / 黄秋生,21世纪00年代,1470493
放牛班的春天,1291549,剧情 / 音乐,9.3,克里斯托夫·巴哈蒂,法国/瑞士/德国,让-巴蒂斯特·莫尼耶 / 热拉尔·朱尼奥 / 弗朗索瓦·贝莱昂,21世纪00年代,1397940
触不可及,6786002,剧情 / 喜剧,9.3,奥利维埃·纳卡什 / 埃里克·托莱达诺,法国,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼,21世纪10年代,1211718
教父,1291841,剧情 / 犯罪,9.3,弗朗西斯·福特·科波拉,美国,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩,20世纪70年代,1039992
末代皇帝,1293172,剧情 / 传记 / 历史,9.3,贝纳尔多·贝托鲁奇,英国/意大利/中国大陆/法国,尊龙 / 陈冲 / 邬君梅,20世纪80年代,962213
活着,1292365,剧情 / 历史 / 家庭,9.3,张艺谋,中国大陆/中国香港,葛优 / 巩俐 / 姜武,20世纪90年代,913776
指环王3：王者无敌,1291552,剧情 / 动作 / 奇幻 / 冒险,9.3,彼得·杰克逊,美国/新西兰,伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森,21世纪00年代,859855
乱世佳人,1300267,剧情 / 历史 / 爱情 / 战争,9.3,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,美国,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰,20世纪30年代,741712
素媛,21937452,剧情,9.3,李濬益,韩国,薛景求 / 严志媛 / 李来,21世纪10年代,735718
鬼子来了,1291858,剧情 / 喜剧,9.3,姜文,中国大陆,姜文 / 香川照之 / 袁丁,21世纪00年代,673067
钢琴家,1296736,剧情 / 传记 / 战争 / 音乐,9.3,罗曼·波兰斯基,英国/法国/波兰/德国/美国,阿德里安·布罗迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯,21世纪00年代,699832
海蒂和爷爷,25958717,剧情 / 冒险 / 家庭,9.3,阿兰·葛斯彭纳,德国/瑞士,阿努克·斯特芬 / 布鲁诺·冈茨 / 昆林·艾格匹,21世纪10年代,702843
教父2,1299131,剧情 / 犯罪,9.3,弗朗西斯·福特·科波拉,美国,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿,20世纪70年代,597886
摩登时代,1294371,剧情 / 喜剧 / 爱情,9.3,查理·卓别林,美国,查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼,20世纪30年代,325944
七武士,1295399,动作 / 冒险 / 剧情,9.3,黑泽明,日本,三船敏郎 / 志村乔 / 津岛惠子,20世纪50年代,216323
城市之光,1293908,喜剧 / 剧情 / 爱情,9.3,查理·卓别林,美国,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李,20世纪30年代,160470
生活多美好,1293749,剧情 / 爱情 / 奇幻,9.3,弗兰克·卡普拉,美国,詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔,20世纪40年代,108012
南海十三郎,1303913,剧情 / 传记 / 爱情,9.3,高志森,中国香港,谢君豪 / 潘灿良 / 苏玉华,20世纪90年代,91221
哀乐中年,4719384,剧情 / 爱情 / 家庭,9.3,桑弧,中国大陆,石挥 / 朱嘉琛 / 沈扬,20世纪40年代,21941
三傻大闹宝莱坞,3793023,剧情 / 喜剧 / 爱情 / 歌舞,9.2,拉吉库马尔·希拉尼,印度,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范,21世纪00年代,1970762
大话西游之大圣娶亲,1292213,喜剧 / 爱情 / 奇幻 / 古装,9.2,刘镇伟,中国香港/中国大陆,周星驰 / 吴孟达 / 朱茵,20世纪90年代,1624120
当幸福来敲门,1849031,剧情 / 传记 / 家庭,9.2,加布里埃莱·穆奇诺,美国,威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿,21世纪00年代,1609266
蝙蝠侠：黑暗骑士,1851857,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,9.2,克里斯托弗·诺兰,美国/英国,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特,21世纪00年代,1133307
指环王2：双塔奇兵,1291572,剧情 / 动作 / 奇幻 / 冒险,9.2,彼得·杰克逊,美国/新西兰,伊利亚·伍德 / 西恩·奥斯汀 / 多米尼克·莫纳汉,21世纪00年代,808312
死亡诗社,1291548,剧情,9.2,彼得·威尔,美国,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克,20世纪80年代,807943
天堂电影院,1291828,剧情 / 爱情,9.2,朱塞佩·托纳多雷,意大利/法国,菲利普·努瓦雷 / 萨瓦特利·卡西欧 / 雅克·贝汉,20世纪80年代,712595
饮食男女,1291818,剧情 / 家庭,9.2,李安,中国台湾/美国,郎雄 / 杨贵媚 / 吴倩莲,20世纪90年代,672409
